#header info#
48	#latitude; used for cacluating drought index in model bugmann#
1832	#meter a.s.l. #

#temperature laps rate with increasing altitude: #
-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50

#precipitation	laps	rate	with	increasing	altitude:	#
4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0

100	#meter:	corrections	(see	above)	every	x	meter.	#

#	mean	monthly	temperature	C								total	monthly	precipitation		mm		#
#	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	#
1 2 3 4 5 6 7 8 9 10 11 12 1 2 3 4 5 6 7 8 9 10 11 12
2007.4 -1.7 -1.8 -1.6 5.8 6.8 9.7 10 9.9 5.2 3.2 -2.9 -3.1 123.4 103.5 143.1 6 171.2 171.4 142.5 146.2 182.1 96.8 214.8 112.9
2002 -2.5 -1.4 -0.1 0 6.5 11.1 10.3 10.3 4.9 3.5 1.2 -1.5 48.5 199.3 220.5 85.6 70.5 81.2 148.5 342.3 292.3 123.2 223.6 160.4
1992 -1.9 -3.4 -2.7 -0.5 6.8 8.3 11.2 13.8 8 1.1 0.9 -1.3 31.2 175.3 174.9 101.5 15 183.8 205.2 151.1 119.9 91 207 85.7
1995.1 -6.3 -1.9 -5.1 0.3 4.7 5.6 12.7 9.2 4.6 8.8 -2 -3.7 243.7 133.1 243.6 135.3 187.2 361 129.8 276.3 147 39.2 180.8 172.9
1997 0.1 -1.4 -0.7 -3 5.1 8.1 8.3 11.3 9.6 2.6 0.8 -3.2 6.3 94.9 167.9 161.5 70.6 165 326.9 159.6 79.2 135 84.5 205.6
2007.4.1 -1.7 -1.8 -1.6 5.8 6.8 9.7 10 9.9 5.2 3.2 -2.9 -3.1 123.4 103.5 143.1 6 171.2 171.4 142.5 146.2 182.1 96.8 214.8 112.9
1996.1 -0.5 -6.9 -5.2 1 4.9 8.6 8.3 8.8 2.8 3.3 -0.7 -2.6 21.3 87.3 204.6 153.5 196.3 167.1 152.1 159.1 192.9 140.8 178.3 66.6
2004.2 -6.9 -4.7 -2.8 0.9 2.8 7.4 9.6 11 7.4 6.7 -1.7 -1.2 297.2 183.6 235.4 81 157.9 241.4 174.5 111.3 140.5 60.2 143.4 88.3
2001 -3.4 -4 -0.4 -1.6 7.8 6.2 10.6 12 3.4 8.6 -2.3 -7.3 101.6 165.2 134.9 282.5 46.3 314.8 78.3 157.1 232 73.4 227.7 308.1
1960 -5.3 -3 -1.2 -0.2 5.3 8.6 7.6 9.6 6.3 3.9 0.7 -2.7 229 185.1 171.7 170.8 201.1 321.7 247.4 337.7 174.1 170.3 105.3 65.2
1952 -6 -7.5 -2.2 3.5 4.3 8.8 12.9 12 3.9 1.8 -3.3 -4.2 194 278.1 379.6 83.2 203.6 218.7 106.2 170.9 205.4 301.1 393.5 202.3
1962 -3.8 -7 -6.5 0.8 1.9 6 8.6 11.2 7.4 5.2 -1.5 -5.1 244.4 304.1 189.6 181.9 318.2 184.4 274.8 129.7 154.6 48.2 65.9 255.5
1962.1 -3.8 -7 -6.5 0.8 1.9 6 8.6 11.2 7.4 5.2 -1.5 -5.1 244.4 304.1 189.6 181.9 318.2 184.4 274.8 129.7 154.6 48.2 65.9 255.5
1998 -2.6 0.4 -3.8 0.5 5.5 8.8 9.6 10.6 6.3 2.7 -5.1 -3.4 99.2 36.1 321.8 101.9 71.8 186.7 203.5 110.4 160.5 155.1 262.9 115.8
1967 -5.8 -3.9 -2.7 -1.8 4.3 6.4 11.3 9.4 7.2 7.1 1.5 -6.3 304.2 143 348 223.8 185.7 266.2 195.1 176.9 134.4 75.3 50.6 170.9
1973 -2.9 -7.3 -4.3 -4 5.2 7.7 8.3 11.5 8.1 3.3 -1.9 -4.2 102.6 188.9 104.7 183 114.2 251.5 179.5 85.7 122.2 76 159.6 134.7
2001.1 -3.4 -4 -0.4 -1.6 7.8 6.2 10.6 12 3.4 8.6 -2.3 -7.3 101.6 165.2 134.9 282.5 46.3 314.8 78.3 157.1 232 73.4 227.7 308.1
1982 -3.4 -4.2 -3.3 -2.7 5 8.6 11.5 9.6 10.7 4.3 2 -3.1 166.4 47.1 155.7 129.8 123.1 236.6 208.8 166.4 70 65.9 58.6 118.5
1988 -1.4 -5.6 -5.8 1.3 6.6 6.7 10.6 10.5 6.5 6.8 -2.7 -3.8 100.1 235.6 342 53.5 112.6 131.9 186.5 228.4 100.7 79 169 248.5
2007.2 -1.7 -1.8 -1.6 5.8 6.8 9.7 10 9.9 5.2 3.2 -2.9 -3.1 123.4 103.5 143.1 6 171.2 171.4 142.5 146.2 182.1 96.8 214.8 112.9
2002.1 -2.5 -1.4 -0.1 0 6.5 11.1 10.3 10.3 4.9 3.5 1.2 -1.5 48.5 199.3 220.5 85.6 70.5 81.2 148.5 342.3 292.3 123.2 223.6 160.4
1985 -8.9 -6.3 -3.5 -0.4 5.5 5.4 11 9.9 8.8 5.8 -4.6 -0.1 117.9 101.8 101.3 157.9 99.1 178.2 146.8 308.4 83.8 45.2 142.6 93.5
1954 -8.6 -5.7 -0.8 -2.1 3.5 8.6 6.9 9.3 8 4 0.4 -2.1 388.2 70.9 87.3 261.8 368.5 279.1 563.3 181.7 319 211.1 159.4 282.1
1962.2 -3.8 -7 -6.5 0.8 1.9 6 8.6 11.2 7.4 5.2 -1.5 -5.1 244.4 304.1 189.6 181.9 318.2 184.4 274.8 129.7 154.6 48.2 65.9 255.5
1996.1.1 -0.5 -6.9 -5.2 1 4.9 8.6 8.3 8.8 2.8 3.3 -0.7 -2.6 21.3 87.3 204.6 153.5 196.3 167.1 152.1 159.1 192.9 140.8 178.3 66.6
1992.1 -1.9 -3.4 -2.7 -0.5 6.8 8.3 11.2 13.8 8 1.1 0.9 -1.3 31.2 175.3 174.9 101.5 15 183.8 205.2 151.1 119.9 91 207 85.7
1990 -1.2 0.6 0.6 -1.2 6 7 9.3 11 4.8 6.7 -2.1 -5.4 21.8 125.9 82 130.5 60.5 177.5 203.8 109 160.6 116.6 119.6 115
2002.2 -2.5 -1.4 -0.1 0 6.5 11.1 10.3 10.3 4.9 3.5 1.2 -1.5 48.5 199.3 220.5 85.6 70.5 81.2 148.5 342.3 292.3 123.2 223.6 160.4
1970 -3.5 -7.9 -6.6 -3 1.6 8.8 8.5 9.8 7.9 3.7 1.2 -4.8 104.1 403.2 208.2 243.3 159.7 194.5 187.1 361.5 149.6 125.4 91.7 122.9
2007.4.2 -1.7 -1.8 -1.6 5.8 6.8 9.7 10 9.9 5.2 3.2 -2.9 -3.1 123.4 103.5 143.1 6 171.2 171.4 142.5 146.2 182.1 96.8 214.8 112.9
1996.1.2 -0.5 -6.9 -5.2 1 4.9 8.6 8.3 8.8 2.8 3.3 -0.7 -2.6 21.3 87.3 204.6 153.5 196.3 167.1 152.1 159.1 192.9 140.8 178.3 66.6
1980 -6 -3.1 -3 -3.3 2.1 5.5 7.2 10.3 8.3 2.1 -1.9 -5.5 161 122.9 147.5 426.6 92.3 204.1 176.3 127.8 139.9 129.3 121.1 141.2
1964 -3.6 -4.2 -3.6 1.3 5.3 9.1 10.6 8.5 7.8 1.2 -0.2 -3.1 6.3 54.5 60.8 72.8 111.4 116.5 63 162.5 34.3 90 35.3 25.6
1983.1 -2.2 -7.5 -1.9 1.7 3.8 8.3 14.2 10.3 8.1 4.2 0.4 -2.3 157.7 119 79.5 92 91 198.8 90.9 214.8 115 55.6 123.9 101.7
1958 -3.9 -2.5 -6.6 -2.3 8.3 7 10.3 11.3 9.4 4 1.5 -2.3 138.4 319.4 223 235.4 139.1 434.9 220.9 208.6 209.1 331.7 89.9 145.9
1964.1 -3.6 -4.2 -3.6 1.3 5.3 9.1 10.6 8.5 7.8 1.2 -0.2 -3.1 6.3 54.5 60.8 72.8 111.4 116.5 63 162.5 34.3 90 35.3 25.6
