Stations_ID; Mess_Datum_Beginn; Mess_Datum_Ende; Qualitaets_Niveau; Art; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR;LUFTTEMPERATUR_MINIMUM;WINDSTAERKE;BEDECKUNGSGRAD; SONNENSCHEINDAUER; NIEDERSCHLAGSHOEHE; max(LUFTTEMPERATUR_MAXIMUM);min(LUFTTEMPERATUR_MINIMUM);max(WINDSPITZE_MAXIMUM); max(NIEDERSCHLAGSHOEHE);eor
  1346;19450101;19450131;   5;   1;   -6.3;  -8.8;  -11.3;    5.90;  6.08;  66.6;-999;   1.8; -17.50;  -999;   19.0;eor
  1346;19450201;19450228;   5;   1;    1.9;  -0.5;   -2.8;    5.90;  6.16;  96.3;-999;  10.2;  -6.90;  -999;   30.4;eor
  1346;19450301;19450331;   5;   1;   -999;   1.0;   -1.5;    -999;  -999;  -999;-999;  -999;   -999;  -999;   -999;eor
  1346;19450401;19450410;-999;-999;   -999;  -999;   -999;    -999;  -999;  -999;-999;  10.0;  -6.60;  -999;   10.0;eor
  1346;19450401;19450430;   5;   1;   -999;   3.0;   -0.4;    -999;  -999;  -999;-999;  -999;   -999;  -999;   -999;eor
  1346;19450501;19450531;   5;   1;   -999;   8.0;    5.6;    -999;  -999;  -999;-999;  -999;   -999;  -999;   -999;eor
  1346;19450601;19450630;   5;   1;   -999;  10.5;    7.3;    -999;  -999;  -999;-999;  -999;   -999;  -999;   -999;eor
  1346;19450701;19450731;   5;   1;   -999;  12.0;    8.6;    -999;  -999;  -999;-999;  -999;   -999;  -999;   -999;eor
  1346;19450801;19450831;   5;   1;   13.5;  10.2;    7.7;    3.60;  5.44;  -999;-999;  22.4;   3.10;  -999;  112.8;eor
  1346;19450901;19450930;   5;   1;   11.9;   8.8;    6.3;    3.10;  5.36; 156.1;-999;  20.5;  -2.50;  -999;   35.7;eor
  1346;19451001;19451031;   5;   1;    7.9;   5.1;    1.9;    3.60;  4.32; 174.6;-999;  14.1;  -4.40;  -999;   18.6;eor
  1346;19451101;19451130;   5;   1;    2.3;  -0.5;   -2.5;    2.40;  4.48; 138.0;-999;  12.1;  -8.50;  -999;   23.1;eor
  1346;19451201;19451231;   5;   1;   -1.1;  -3.6;   -6.0;    4.90;  6.80;  36.1;-999;   6.3; -22.90;  -999;   42.3;eor
  1346;19460101;19460131;   5;   1;   -1.1;  -4.0;   -7.1;    4.70;  4.16; 136.9;   135.7;   6.9; -18.40;  -999;   31.5;eor
  1346;19460201;19460228;   5;   1;   -1.5;  -3.5;   -5.6;    5.10;  7.20;  29.5;   396.2;   4.3; -11.00;  -999;   55.8;eor
  1346;19460301;19460331;   5;   1;    2.1;  -0.4;   -3.0;    2.90;  5.20; 149.1;    65.1;   9.9; -11.60;  -999;   16.1;eor
  1346;19460401;19460430;   5;   1;    8.4;   4.6;    1.4;    2.40;  4.00; 228.6;    27.4;  13.4;  -8.00;  -999;   12.0;eor
  1346;19460501;19460531;   5;   1;   10.5;   6.9;    4.5;    2.70;  6.24; 164.7;   137.0;  15.5;  -3.90;  -999;   19.3;eor
  1346;19460601;19460630;   5;   1;   10.9;   7.7;    5.2;    3.30;  6.24; 142.9;   311.6;  20.4;   0.40;  -999;   87.8;eor
  1346;19460701;19460731;   5;   1;   15.4;  11.9;    9.1;    2.80;  5.36; 222.8;    81.2;  23.6;   3.30;  -999;   17.0;eor
  1346;19460801;19460831;   5;   1;   14.1;   9.9;    7.4;    2.60;  5.28; 205.6;   158.0;  25.1;   2.30;  -999;   23.8;eor
