row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,DBH,height,availableLight,light_rf,LeafArea,nitorgen_rf,droughtIndex,moisture_rf,degreeDay_rf,deadbole
0,0,0,3445993,5379484,1,730,abiealba,40,0.0459,2,1,13.2420,11.0617,0.1503,0.3847,3.8566,0.0000,0.7657,0.0000,0.9990,5.7574
0,0,0,3445993,5379484,1,730,fagusilv,190,17.3574,1,1,153.0203,42.3622,0.6114,0.9410,3.8566,0.0000,0.9978,0.0000,0.9989,5.7574
0,0,0,3445993,5379484,1,730,fagusilv,40,0.1050,12,1,16.0626,12.5006,0.1981,0.5352,3.8566,0.0000,0.9978,0.0000,0.9989,5.7574
0,1,1,3446018,5379484,1,731,piceabie,20,0.0157,19,11,8.9265,8.0793,0.0769,0.0143,5.4722,0.0000,0.7581,0.0000,0.9993,6.9065
0,1,1,3446018,5379484,1,731,fagusilv,20,0.0556,118,1,12.4762,10.2916,0.4410,0.8559,5.4722,0.0000,0.9910,0.0000,0.9989,6.9065
0,2,2,3446043,5379484,1,731,abiealba,0,0.0122,53,0,8.1733,7.5572,0.2527,0.0000,3.5820,0.0000,0.7742,0.0000,0.0000,30.9707
0,2,2,3446043,5379484,1,731,fagusilv,120,9.5457,1,1,112.2936,39.4337,0.7477,0.8410,3.5820,0.0000,0.9993,0.0000,0.9989,30.9707
0,2,2,3446043,5379484,1,731,fagusilv,0,0.0129,37,0,6.9770,6.6093,0.3766,0.0000,3.5820,0.0000,0.9993,0.0000,0.0000,30.9707
0,3,3,3446068,5379484,1,728,fagusilv,200,18.7853,1,1,159.6716,42.6650,0.5892,0.9335,4.4738,0.0000,0.9992,0.0000,0.9989,6.1858
0,3,3,3446068,5379484,1,728,fagusilv,120,6.4366,1,1,92.5423,37.0044,0.1633,0.4633,4.4738,0.0000,0.9992,0.0000,0.9989,6.1858
0,4,4,3446093,5379484,1,723,fagusilv,330,20.2272,1,1,166.2178,42.9291,0.5676,0.9254,3.4322,0.0000,0.9998,0.0000,0.9989,0.6881
0,5,5,3446118,5379484,1,716,fagusilv,100,4.7574,5,1,80.1675,34.9679,0.4405,0.8577,4.9681,0.0000,0.9992,0.0000,0.9989,16.9823
0,6,6,3446143,5379484,1,710,fagusilv,80,1.6813,12,1,50.2030,27.6217,0.4115,0.8359,5.3808,0.0000,0.9931,0.0000,0.9989,17.0109
0,7,7,3446168,5379484,1,706,abiealba,60,0.0950,7,9,17.4716,13.8061,0.0428,0.0417,6.6627,0.0000,0.7589,0.0000,0.9990,3.9773
