decade, abiealba, piceabie, fagusilv, landtype, area
0, 1357.11, 1155.06, 1183.42, 1, 300
1, 1312.96, 934.667, 1096.19, 1, 300
2, 1198.1, 746.787, 985.543, 1, 300
3, 932.313, 620.36, 873.977, 1, 300
4, 592, 516.663, 774.307, 1, 300
5, 263.92, 328.78, 674.653, 1, 300
6, 133.843, 159.3, 542.62, 1, 300
7, 96.26, 108.417, 422.767, 1, 300
8, 54.6133, 81.6767, 285.297, 1, 300
9, 43.8233, 67.6, 194.01, 1, 300
10, 60.4067, 58.8833, 146.937, 1, 300
11, 103.32, 58.6433, 156.81, 1, 300
12, 152.673, 64.4367, 183.84, 1, 300
13, 237.827, 68.9067, 236.423, 1, 300
14, 308.97, 93.5167, 290.147, 1, 300
15, 356.723, 111.633, 313.193, 1, 300
16, 420.127, 126.86, 366.337, 1, 300
17, 453.153, 120.383, 379.12, 1, 300
18, 439.617, 98.5267, 375.343, 1, 300
19, 415.71, 71.4467, 361.797, 1, 300
20, 388.59, 66.53, 350.463, 1, 300
21, 374.7, 77.45, 346.487, 1, 300
22, 360.327, 79.4767, 335.87, 1, 300
23, 354.42, 79.9433, 340.54, 1, 300
24, 345.003, 69.0733, 324.997, 1, 300
25, 318.64, 68.2367, 312.347, 1, 300
26, 305.447, 58.29, 306.13, 1, 300
27, 295.773, 56.9967, 305.043, 1, 300
28, 298.147, 75.3767, 297.97, 1, 300
29, 316.373, 82.46, 306.177, 1, 300
30, 334.42, 78.5667, 326.62, 1, 300
31, 341.373, 76.1233, 315.31, 1, 300
32, 342.853, 70.4533, 321.703, 1, 300
33, 334.303, 65.2567, 317.963, 1, 300
34, 348.383, 68.4, 334.067, 1, 300
35, 353.357, 84.3967, 329.747, 1, 300
36, 365.697, 87.9467, 341.92, 1, 300
37, 379.383, 79.4267, 346.967, 1, 300
38, 361.637, 68.4867, 331.963, 1, 300
39, 352.827, 62.68, 326.503, 1, 300
40, 332.027, 54.6067, 310.84, 1, 300
41, 333.03, 68.6467, 317.013, 1, 300
42, 335.06, 78.3233, 318.373, 1, 300
43, 342.38, 75.83, 324.96, 1, 300
44, 351.123, 74.9833, 321.583, 1, 300
45, 343.847, 69.0667, 320.333, 1, 300
46, 331.473, 65.6233, 317.243, 1, 300
47, 323.667, 55.1333, 313.317, 1, 300
48, 333.6, 71.4, 319.083, 1, 300
49, 346.597, 88.5533, 320.877, 1, 300
50, 362.323, 86.5, 338.11, 1, 300
