#header info#
48	#latitude; used for cacluating drought index in model bugmann#
1490	#meter a.s.l. #

#temperature laps rate with increasing altitude: #
-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50	-0.50

#precipitation	laps	rate	with	increasing	altitude:	#
4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0

100	#meter:	corrections	(see	above)	every	x	meter.	#

#	mean	monthly	temperature	C								total	monthly	precipitation		mm		#
#	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	jan	feb	marz	april	mai	june	july	aug	sept	oct	nov	dec	#
1946 -4 -3.5 -0.4 4.6 6.9 7.7 11.9 9.9 9.1 3.1 -0.4 -5.4 135.7 396.2 65.1 27.4 137 311.6 81.2 158 134.9 74.7 115.5 124.8
1947 -7.2 -5.2 -0.5 4 8.2 11.1 13.3 13.6 11.5 6 0.6 -4.7 90 118.3 240 105.5 93.6 83.3 144.8 71.4 57.7 51.2 292.9 210.6
1948 -1.9 -4.2 3 2.6 7 8.1 8.5 10.3 8.5 4.5 3.6 -0.1 289.6 120.7 68.2 123.8 119 167.5 368.6 200.7 88.3 94.2 105.5 46.3
1949 -2.6 -2.3 -3.5 5.2 4.4 8.5 12.8 11.7 12.3 6.4 -1.8 -1.7 102 34.4 94.9 183.8 160 89 41.2 100.1 86 37.8 123.5 156.7
1950 -4.2 -1.8 -0.3 -0.7 7.8 12.1 13 11.5 7.2 4.5 -0.9 -6.5 81.7 195.8 41.1 193 145.9 106.1 144.2 208.4 220 70.7 417.7 137.8
1951 -3.1 -4 -3 0.7 5.1 8.6 11.3 10.6 9.2 4 1.3 0.5 183.6 106.2 169.6 92.7 112.1 214.2 119.4 162.7 112.2 70.4 204.1 101.2
1952 -5.3 -5.5 -0.5 4 6.2 10.2 13.8 12.4 3.9 2.4 -2.5 -4 206.9 130.3 210.1 109.8 62.7 96.3 36.4 125.4 200.6 311.8 342 219.7
1953 -5.8 -4.7 0.8 2.9 7.2 8 10.6 11 8.8 6.3 4.3 1.7 41.9 158.8 14.9 97 161.4 245.5 209 54.4 126.2 35.1 35.7 57
1954 -7.9 -4.9 0 -0.8 4.6 8.8 7.6 9.2 7.7 4.8 1 -0.9 124.5 60.1 56.9 98.5 91.4 117.4 238.4 315 298.3 141.7 132.1 167.1
1955 -0.5 -5.6 -4 1.3 3.9 8.7 10.4 10.1 7.3 2.6 -0.1 -0.4 278.1 166.5 109.1 41.8 217.6 190.5 185.2 75.6 97.1 77 45.1 212
1956 -3.1 -13.7 -1.6 -0.5 6.5 5.8 9.9 8.3 10.2 3.1 -2.5 -2.4 183 38.7 82.6 168 157.5 157.8 294.8 334.5 127.4 191.7 91.4 69
1957 -3.1 -1.3 3.1 1.7 2.2 10 10.8 8.8 6.7 5.8 1 -2.5 105.8 253.4 114.9 66.9 78.5 237.8 216 183.2 224.7 46.2 40.9 70.5
1958 -3.2 -1.5 -5.3 -1.5 8 8 10.7 11.6 10.2 4.4 1.7 -2.1 166 377.8 80 145.9 166.2 200 169 190.9 151.2 145.6 101.5 163.3
1959 -4.1 1.2 1.6 2.9 6.4 9.2 13.3 10.5 10.1 5 0.7 -1.1 235.9 12.5 107.5 131.6 103.1 220 96.1 88.1 23.3 120.1 55.5 170.8
1960 -4.4 -2.5 -0.1 1.1 7.3 9.9 7.9 9.6 6.7 3.7 0.4 -3.7 108.9 177.8 76.6 73.3 176.6 210.8 207.3 354.8 166.3 208.6 191.3 98.6
