row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,DBH,height,availableLight,light_rf,LeafArea,nitorgen_rf,droughtIndex,moisture_rf,degreeDay_rf,deadbole
0,0,0,3445993,5379484,1,730,fagusilv,250,19.0453,1,0,160.8641,42.7155,0.5853,0.9321,3.6592,0.0000,0.1617,0.6789,0.7241,2.1156
0,0,0,3445993,5379484,1,730,fagusilv,100,1.5027,1,0,47.8214,26.8460,0.1843,0.5146,3.6592,0.0000,0.1617,0.6789,0.7241,2.1156
0,1,1,3446018,5379484,1,731,fagusilv,80,1.5321,10,0,48.2229,26.9792,0.5011,0.9031,4.1875,0.0000,0.1491,0.7092,0.7237,24.1965
0,2,2,3446043,5379484,1,731,fagusilv,180,18.2960,1,0,157.4124,42.5663,0.5967,0.9368,3.5625,0.0000,0.1361,0.7390,0.7237,5.7543
0,2,2,3446043,5379484,1,731,fagusilv,60,0.3417,3,0,25.7930,17.8112,0.1948,0.5328,3.5625,0.0000,0.1361,0.7390,0.7237,5.7543
0,3,3,3446068,5379484,1,728,fagusilv,260,19.6345,1,0,163.5464,42.8252,0.5764,0.9291,5.9895,0.0000,0.1406,0.7289,0.7249,0.8306
0,3,3,3446068,5379484,1,728,fagusilv,180,15.2357,1,0,142.7766,41.8171,0.1216,0.3503,5.9895,0.0000,0.1406,0.7289,0.7249,0.8306
0,4,4,3446093,5379484,1,723,fagusilv,390,20.4090,1,0,167.0320,42.9598,0.5649,0.9244,3.4608,0.0000,0.1420,0.7256,0.7270,0.0920
0,5,5,3446118,5379484,1,716,fagusilv,160,17.3045,2,0,152.7706,42.3500,0.3748,0.8071,5.9473,0.0000,0.1454,0.7178,0.7299,4.7773
0,6,6,3446143,5379484,1,710,abiealba,10,0.0223,40,0,10.1389,8.9451,0.1585,0.4686,5.3104,0.0000,0.1454,0.6932,0.7600,17.8051
0,6,6,3446143,5379484,1,710,abiealba,0,0.0129,11,0,8.3216,7.6632,0.0768,0.0000,5.3104,0.0000,0.1454,0.0000,0.0000,17.8051
0,6,6,3446143,5379484,1,710,piceabie,10,0.0141,12,1,8.5910,7.8421,0.0972,0.0978,5.3104,0.0000,0.1454,0.5223,0.8294,17.8051
0,6,6,3446143,5379484,1,710,fagusilv,140,14.4857,1,0,139.0370,41.5912,0.6583,0.9558,5.3104,0.0000,0.1454,0.7178,0.7323,17.8051
0,6,6,3446143,5379484,1,710,fagusilv,10,0.0298,26,0,9.7420,8.5072,0.2503,0.6556,5.3104,0.0000,0.1454,0.7178,0.7323,17.8051
0,6,6,3446143,5379484,1,710,fagusilv,0,0.0137,11,0,7.1552,6.7346,0.0852,0.0000,5.3104,0.0000,0.1454,0.0000,0.0000,17.8051
0,7,7,3446168,5379484,1,706,abiealba,0,0.0155,46,0,8.8841,8.0634,0.2399,0.0000,4.2323,0.0000,0.1487,0.0000,0.0000,27.6346
0,7,7,3446168,5379484,1,706,piceabie,0,0.0140,22,0,8.5752,7.8309,0.1451,0.0000,4.2323,0.0000,0.1487,0.0000,0.0000,27.6346
0,7,7,3446168,5379484,1,706,fagusilv,120,9.0382,1,0,109.2716,39.1166,0.7576,0.9762,4.2323,0.0000,0.1487,0.7102,0.7339,27.6346
0,7,7,3446168,5379484,1,706,fagusilv,0,0.0168,41,0,7.7565,7.1542,0.3799,0.0000,4.2323,0.0000,0.1487,0.0000,0.0000,27.6346
0,8,8,3446193,5379484,1,702,abiealba,0,0.0121,36,0,8.1329,7.5283,0.1683,0.0000,4.1245,0.0000,0.1491,0.0000,0.0000,22.3764
0,8,8,3446193,5379484,1,702,fagusilv,160,16.0508,1,0,146.7673,42.0417,0.6323,0.9484,4.1245,0.0000,0.1491,0.7093,0.7355,22.3764
0,8,8,3446193,5379484,1,702,fagusilv,0,0.0127,33,0,6.9283,6.5751,0.2292,0.0000,4.1245,0.0000,0.1491,0.0000,0.0000,22.3764
0,9,9,3446218,5379484,1,700,fagusilv,270,20.0036,1,0,165.2132,42.8906,0.5709,0.9267,3.3970,0.0000,0.1487,0.7101,0.7363,0.3377
0,10,10,3446243,5379484,1,701,fagusilv,130,10.4277,2,0,117.3983,39.9311,0.5341,0.9159,3.8008,0.0000,0.1403,0.7297,0.7359,22.8572
0,11,11,3446268,5379484,1,703,abiealba,10,0.0226,40,0,10.1789,8.9729,0.1629,0.4799,5.2281,0.0000,0.1404,0.7062,0.7626,17.9275
0,11,11,3446268,5379484,1,703,piceabie,10,0.0145,12,0,8.6855,7.9091,0.0995,0.1044,5.2281,0.0000,0.1404,0.5460,0.8312,17.9275
0,11,11,3446268,5379484,1,703,fagusilv,140,14.5915,1,0,139.5683,41.6242,0.6565,0.9554,5.2281,0.0000,0.1404,0.7294,0.7351,17.9275
0,11,11,3446268,5379484,1,703,fagusilv,10,0.0304,23,0,9.8175,8.5577,0.2513,0.6576,5.2281,0.0000,0.1404,0.7294,0.7351,17.9275
0,11,11,3446268,5379484,1,703,fagusilv,0,0.0136,25,0,7.1390,6.7232,0.0839,0.0000,5.2281,0.0000,0.1404,0.0000,0.0000,17.9275
0,12,12,3446293,5379484,1,704,fagusilv,190,18.6577,2,0,159.0842,42.6397,0.3495,0.7798,6.3712,0.0000,0.1500,0.7070,0.7347,1.9329
0,13,13,3446318,5379484,1,704,fagusilv,170,17.9409,2,0,155.7597,42.4914,0.3627,0.7943,6.1465,0.0000,0.1497,0.7078,0.7347,4.4378
0,14,14,3446343,5379484,1,703,fagusilv,100,4.7105,5,0,79.7965,34.8994,0.4434,0.8700,4.9291,0.0000,0.1487,0.7101,0.7351,20.5875
0,15,15,3446368,5379484,1,702,fagusilv,190,18.7243,1,0,159.3909,42.6530,0.5902,0.9343,3.2715,0.0000,0.1486,0.7104,0.7355,5.5281
0,15,15,3446368,5379484,1,702,fagusilv,40,0.1319,1,0,17.5935,13.4002,0.1998,0.5406,3.2715,0.0000,0.1486,0.7104,0.7355,5.5281
0,16,16,3446393,5379484,1,702,fagusilv,390,20.6138,1,0,167.9464,42.9937,0.5619,0.9232,3.4931,0.0000,0.1485,0.7107,0.7355,0.0157
0,17,17,3446418,5379484,1,701,abiealba,0,0.0121,111,0,8.1276,7.5245,0.3135,0.0000,4.5848,0.0000,0.1438,0.0000,0.0000,30.9437
0,17,17,3446418,5379484,1,701,piceabie,0,0.0114,24,0,7.9592,7.3924,0.1210,0.0000,4.5848,0.0000,0.1438,0.0000,0.0000,30.9437
0,17,17,3446418,5379484,1,701,fagusilv,0,0.0125,96,0,6.8863,6.5455,0.7846,0.0000,4.5848,0.0000,0.1438,0.0000,0.0000,30.9437
0,18,18,3446443,5379484,1,697,fagusilv,210,19.3430,1,0,162.2227,42.7717,0.5808,0.9308,3.2932,0.0000,0.1432,0.7229,0.7375,2.2388
0,19,19,3446468,5379484,1,694,abiealba,0,0.0166,26,0,9.1112,8.2241,0.1780,0.0000,4.3617,0.0000,0.1425,0.0000,0.0000,18.9210
0,19,19,3446468,5379484,1,694,piceabie,0,0.0139,17,0,8.5507,7.8136,0.1303,0.0000,4.3617,0.0000,0.1425,0.0000,0.0000,18.9210
0,19,19,3446468,5379484,1,694,fagusilv,140,15.3811,1,0,143.4938,41.8587,0.6433,0.9517,4.3617,0.0000,0.1425,0.7245,0.7387,18.9210
0,19,19,3446468,5379484,1,694,fagusilv,0,0.0185,27,0,8.0614,7.3651,0.2403,0.0000,4.3617,0.0000,0.1425,0.0000,0.0000,18.9210
0,20,20,3446493,5379484,1,692,fagusilv,200,19.2354,1,0,161.7327,42.7516,0.5824,0.9314,3.6079,0.0000,0.1428,0.7238,0.7395,3.3047
0,20,20,3446493,5379484,1,692,fagusilv,80,1.1119,1,0,42.0416,24.8164,0.1840,0.5162,3.6079,0.0000,0.1428,0.7238,0.7395,3.3047
0,21,21,3446518,5379484,1,688,fagusilv,130,12.2394,2,0,127.3889,40.7796,0.4865,0.8918,4.3669,0.0000,0.1451,0.7187,0.7411,15.0416
0,22,22,3446543,5379484,1,684,abiealba,0,0.0174,107,0,9.2736,8.3387,0.2707,0.0000,4.6573,0.0000,0.1481,0.0000,0.0000,23.8816
0,22,22,3446543,5379484,1,684,fagusilv,0,0.0193,78,0,8.2001,7.4607,0.7671,0.0000,4.6573,0.0000,0.1481,0.0000,0.0000,23.8816
0,23,23,3446568,5379484,1,678,abiealba,50,0.0619,9,9,14.8288,12.1099,0.0297,0.0124,7.3900,0.0000,0.1524,0.6750,0.7714,3.8175
0,23,23,3446568,5379484,1,678,fagusilv,50,0.3260,49,0,25.3060,17.5673,0.3226,0.7672,7.3900,0.0000,0.1524,0.7014,0.7450,3.8175
0,24,24,3446593,5379484,1,671,fagusilv,170,18.3755,2,0,157.7808,42.5826,0.3546,0.7853,6.2827,0.0000,0.1523,0.7017,0.7477,3.5903
0,25,25,3446618,5379484,1,664,abiealba,0,0.0133,40,0,8.4151,7.7300,0.1724,0.0000,4.1724,0.0000,0.1515,0.0000,0.0000,21.9374
0,25,25,3446618,5379484,1,664,fagusilv,140,14.7255,1,0,140.2397,41.6655,0.6543,0.9546,4.1724,0.0000,0.1515,0.7035,0.7503,21.9374
0,25,25,3446618,5379484,1,664,fagusilv,0,0.0143,37,0,7.2715,6.8161,0.2496,0.0000,4.1724,0.0000,0.1515,0.0000,0.0000,21.9374
0,26,26,3446643,5379484,1,658,fagusilv,120,9.6852,3,0,113.1129,39.5167,0.4135,0.8462,5.3520,0.0000,0.1512,0.7043,0.7526,14.5134
0,27,27,3446668,5379484,1,653,fagusilv,70,0.6987,29,0,34.5930,21.8626,0.3201,0.7498,6.9040,0.0000,0.1560,0.6929,0.7545,14.0789
0,28,28,3446693,5379484,1,651,fagusilv,120,9.3239,3,0,110.9810,39.2981,0.4253,0.8550,5.1816,0.0000,0.1538,0.6980,0.7552,18.1989
0,29,29,3446718,5379484,1,652,abiealba,0,0.0130,27,0,8.3546,7.6868,0.1709,0.0000,4.0610,0.0000,0.1532,0.0000,0.0000,27.4851
0,29,29,3446718,5379484,1,652,piceabie,0,0.0112,4,0,7.9214,7.3654,0.1352,0.0000,4.0610,0.0000,0.1532,0.0000,0.0000,27.4851
0,29,29,3446718,5379484,1,652,fagusilv,120,7.7439,2,0,101.2395,38.1830,0.6141,0.9451,4.0610,0.0000,0.1532,0.6995,0.7548,27.4851
0,29,29,3446718,5379484,1,652,fagusilv,0,0.0139,22,0,7.1943,6.7620,0.2150,0.0000,4.0610,0.0000,0.1532,0.0000,0.0000,27.4851
0,30,30,3446743,5379484,1,654,fagusilv,270,20.5616,1,0,167.7137,42.9851,0.5627,0.9235,3.4849,0.0000,0.1456,0.7174,0.7541,0.2864
0,31,31,3446768,5379484,1,656,fagusilv,90,3.3334,7,0,68.0297,32.4672,0.4197,0.8546,5.2615,0.0000,0.1456,0.7174,0.7533,21.9055
0,32,32,3446793,5379484,1,659,fagusilv,60,0.5822,36,0,32.0767,20.7701,0.2883,0.6845,7.5379,0.0000,0.1472,0.7136,0.7522,10.8978
0,33,33,3446818,5379484,1,661,fagusilv,0,0.0172,281,0,7.8384,7.2109,0.4128,0.0000,5.3619,0.0000,0.1426,0.0000,0.0000,19.6692
0,34,34,3446843,5379484,1,661,fagusilv,140,15.5131,2,0,144.1430,41.8959,0.4111,0.8402,5.3877,0.0000,0.1425,0.7246,0.7515,11.3890
0,35,35,3446868,5379484,1,660,fagusilv,190,19.4840,1,0,162.8636,42.7978,0.5787,0.9299,3.3153,0.0000,0.1439,0.7214,0.7518,5.5685
0,36,36,3446893,5379484,1,657,fagusilv,390,21.1471,1,0,170.3142,43.0790,0.5542,0.9200,3.5772,0.0000,0.1449,0.7191,0.7530,0.0101
0,37,37,3446918,5379484,1,653,fagusilv,160,18.1137,1,0,156.5655,42.5282,0.5996,0.9378,3.5862,0.0000,0.1456,0.7173,0.7545,7.7165
0,37,37,3446918,5379484,1,653,fagusilv,50,0.1915,5,0,20.4202,14.9963,0.1959,0.5319,3.5862,0.0000,0.1456,0.7173,0.7545,7.7165
0,38,38,3446943,5379484,1,647,abiealba,40,0.0539,68,0,14.0658,11.6087,0.0545,0.1330,8.3075,0.0000,0.1483,0.6858,0.7819,8.3121
0,38,38,3446943,5379484,1,647,fagusilv,40,0.1620,53,0,19.0949,14.2583,0.4685,0.8860,8.3075,0.0000,0.1483,0.7111,0.7567,8.3121
0,39,39,3446968,5379484,1,640,fagusilv,200,19.7824,1,0,164.2157,42.8517,0.5742,0.9280,3.3622,0.0000,0.1486,0.7104,0.7592,4.0012
0,40,40,3446993,5379484,1,630,fagusilv,90,3.4333,5,0,68.9512,32.6771,0.5302,0.8484,3.8451,0.0000,0.1489,0.7096,0.7629,21.7592
0,41,41,3447018,5379484,1,627,abiealba,10,0.0181,65,0,9.4035,8.4302,0.1432,0.4306,5.4141,0.0000,0.1478,0.6872,0.7884,25.2170
0,41,41,3447018,5379484,1,627,fagusilv,120,10.9071,1,0,120.1023,40.1763,0.7218,0.9700,5.4141,0.0000,0.1478,0.7123,0.7639,25.2170
0,41,41,3447018,5379484,1,627,fagusilv,10,0.0246,53,0,9.0326,8.0294,0.3012,0.7337,5.4141,0.0000,0.1478,0.7123,0.7639,25.2170
0,41,41,3447018,5379484,1,627,fagusilv,0,0.0134,16,0,7.0993,6.6953,0.0728,0.0000,5.4141,0.0000,0.1478,0.0000,0.0000,25.2170
0,42,42,3447043,5379484,1,626,fagusilv,60,0.5662,35,0,31.7105,20.6069,0.3055,0.7341,7.1868,0.0000,0.1580,0.6881,0.7643,7.1199
0,43,43,3447068,5379484,1,624,fagusilv,70,0.7470,27,0,35.5699,22.2734,0.3289,0.7589,6.7395,0.0000,0.1584,0.6871,0.7650,13.2564
0,44,44,3447093,5379484,1,624,abiealba,160,7.0133,3,0,109.8683,46.9066,0.5130,0.9039,4.0452,0.0000,0.1557,0.6662,0.7894,13.7508
0,45,45,3447118,5379484,1,624,abiealba,280,13.2463,2,0,151.2200,52.5526,0.4807,0.8835,4.4389,0.0000,0.1559,0.6659,0.7894,0.2830
0,46,46,3447143,5379484,1,623,abiealba,50,0.0709,32,5,15.6126,12.6193,0.0421,0.0575,7.7146,0.0000,0.1584,0.6590,0.7897,6.5095
0,46,46,3447143,5379484,1,623,fagusilv,50,0.3313,40,0,25.4692,17.6493,0.3931,0.8269,7.7146,0.0000,0.1584,0.6870,0.7654,6.5095
0,47,47,3447168,5379484,1,622,fagusilv,180,19.3405,1,0,162.2114,42.7713,0.5808,0.9304,3.2928,0.0000,0.1563,0.6920,0.7657,10.9333
0,48,48,3447193,5379484,1,620,fagusilv,390,21.4937,1,0,171.8425,43.1321,0.5492,0.9179,3.6320,0.0000,0.1561,0.6925,0.7664,0.0076
0,49,49,3447218,5379484,1,619,abiealba,390,13.7569,1,0,154.2151,52.8508,0.6855,0.9611,5.6631,0.0000,0.1573,0.6620,0.7910,3.0602
0,49,49,3447218,5379484,1,619,abiealba,30,0.0640,38,0,15.0135,12.2304,0.2180,0.5894,5.6631,0.0000,0.1573,0.6620,0.7910,3.0602
0,49,49,3447218,5379484,1,619,abiealba,20,0.0185,12,0,9.4660,8.4741,0.0818,0.2247,5.6631,0.0000,0.1573,0.6620,0.7910,3.0602
0,49,49,3447218,5379484,1,619,abiealba,10,0.0130,15,0,8.3586,7.6897,0.0666,0.1659,5.6631,0.0000,0.1573,0.6620,0.7910,3.0602
0,49,49,3447218,5379484,1,619,piceabie,30,0.0169,2,11,9.1743,8.2537,0.0720,0.0208,5.6631,0.0000,0.1573,0.4620,0.8514,3.0602
0,49,49,3447218,5379484,1,619,fagusilv,20,0.0263,12,0,9.2738,8.1925,0.0960,0.2753,5.6631,0.0000,0.1573,0.6897,0.7668,3.0602
0,50,50,3447243,5379484,1,617,fagusilv,70,0.8380,24,0,37.3182,22.9904,0.3422,0.7880,6.4998,0.0000,0.1586,0.6866,0.7675,12.6612
