decade, abiealba, piceabie, fagusilv, landtype, area
0, 20.2057, 17.2217, 19.3852, 1, 300
1, 27.2463, 19.3265, 29.7824, 1, 300
2, 33.3898, 21.845, 45.2079, 1, 300
3, 35.257, 24.5326, 67.7901, 1, 300
4, 31.7856, 26.3393, 109.825, 1, 300
5, 22.5035, 22.547, 169.954, 1, 300
6, 17.8788, 16.0285, 215.903, 1, 300
7, 16.5716, 15.3922, 254.68, 1, 300
8, 14.5015, 16.1425, 278.679, 1, 300
9, 13.6724, 16.9022, 281.264, 1, 300
10, 13.8984, 17.3302, 284.97, 1, 300
11, 14.5829, 17.5858, 283.928, 1, 300
12, 15.3955, 17.8504, 284.461, 1, 300
13, 16.7997, 17.3856, 270.019, 1, 300
14, 19.2555, 18.2186, 266.057, 1, 300
15, 21.2839, 18.7124, 263.73, 1, 300
16, 23.8593, 19.6069, 247.068, 1, 300
17, 26.9854, 19.4553, 249.813, 1, 300
18, 29.229, 19.7765, 252.371, 1, 300
19, 30.2891, 18.5966, 247.384, 1, 300
20, 30.9572, 18.4876, 241.227, 1, 300
21, 32.5053, 18.3034, 234.795, 1, 300
22, 33.7317, 18.1784, 229.434, 1, 300
23, 34.8922, 18.4172, 228.727, 1, 300
24, 34.9688, 16.9589, 232.879, 1, 300
25, 34.4381, 16.7018, 242.534, 1, 300
26, 33.7883, 15.7766, 248.33, 1, 300
27, 32.4969, 15.0317, 246.828, 1, 300
28, 32.62, 14.6822, 247.587, 1, 300
29, 32.8404, 14.5151, 248.889, 1, 300
30, 33.931, 13.9443, 246.051, 1, 300
31, 35.3448, 13.8071, 251.406, 1, 300
32, 35.5826, 13.36, 251.759, 1, 300
33, 36.0032, 12.8032, 251.029, 1, 300
34, 36.8662, 12.3114, 247.335, 1, 300
35, 38.5135, 12.1589, 243.813, 1, 300
36, 40.1022, 11.7465, 241.065, 1, 300
37, 41.6262, 11.1702, 237.437, 1, 300
38, 42.1163, 10.7528, 243.184, 1, 300
39, 42.1722, 10.0973, 245.096, 1, 300
40, 40.9454, 9.52614, 243.271, 1, 300
41, 41.5914, 9.30082, 241.963, 1, 300
42, 41.8669, 9.17364, 241.963, 1, 300
43, 42.1738, 8.77302, 241.551, 1, 300
44, 43.1403, 8.58396, 241.94, 1, 300
45, 43.4893, 8.24467, 246.671, 1, 300
46, 43.5697, 7.71376, 251.982, 1, 300
47, 42.2985, 7.28655, 247.255, 1, 300
48, 42.5219, 7.12357, 245.566, 1, 300
49, 43.4332, 7.13105, 243.378, 1, 300
50, 43.6848, 7.14838, 241.021, 1, 300
