decade, abiealba, piceabie, fagusilv, elevation, area
0, 15.5095, 5.61162, 20.6424, 603, 0.125
0, 19.0257, 11.8973, 16.2122, 605, 0.25
0, 14.0452, 11.2241, 19.4761, 606, 0.0625
0, 9.84362, 14.7679, 18.7759, 607, 0.25
0, 13.8568, 10.8968, 18.7639, 608, 0.1875
0, 11.209, 7.92916, 20.453, 609, 0.0625
0, 18.6387, 15.2199, 11.0336, 611, 0.1875
0, 7.10387, 15.9693, 23.2052, 613, 0.125
0, 7.53621, 12.1996, 21.2613, 615, 0.1875
0, 21.4201, 14.4507, 7.61271, 616, 0.3125
0, 14.8292, 13.4727, 18.236, 617, 0.1875
0, 21.017, 15.4623, 8.28893, 618, 0.125
0, 16.5801, 14.7106, 14.4018, 619, 0.25
0, 14.9748, 13.5439, 19.2786, 620, 0.1875
0, 17.5963, 5.69503, 22.1088, 621, 0.125
0, 15.0011, 12.5331, 18.8287, 622, 0.3125
0, 15.8119, 11.2953, 16.4531, 623, 0.1875
0, 13.6359, 12.5946, 17.3767, 624, 0.375
0, 16.6194, 12.0714, 17.4051, 625, 0.1875
0, 15.744, 9.77843, 17.3418, 626, 0.1875
0, 14.1639, 12.4333, 19.332, 627, 0.125
0, 21.8385, 17.2973, 0, 629, 0.0625
0, 8.36368, 22.5259, 16.1489, 630, 0.25
0, 16.8876, 8.30508, 19.1506, 631, 0.1875
0, 15.709, 9.46458, 21.4021, 632, 0.3125
0, 16.5604, 12.529, 20.9178, 633, 0.125
0, 19.2325, 8.35564, 19.3975, 634, 0.1875
0, 7.12501, 14.1831, 19.2532, 635, 0.125
0, 16.353, 13.4774, 23.2704, 636, 0.0625
0, 16.4696, 13.1246, 13.6911, 637, 0.0625
0, 16.7467, 9.06477, 19.3538, 638, 0.0625
0, 16.5229, 13.1655, 16.2386, 639, 0.0625
0, 15.6224, 13.5445, 17.7748, 640, 0.5
0, 11.6261, 12.9906, 16.4049, 641, 0.0625
0, 0, 18.6532, 33.6769, 643, 0.125
0, 16.5598, 11.3882, 19.8358, 644, 0.0625
0, 21.1203, 16.1149, 10.9307, 645, 0.125
0, 18.9149, 13.4542, 26.1903, 646, 0.0625
0, 15.3148, 7.09542, 29.5111, 647, 0.25
0, 14.2097, 8.71259, 23.0965, 648, 0.1875
0, 19.6987, 10.681, 20.9677, 649, 0.25
0, 14.0629, 9.35611, 25.5655, 650, 0.375
0, 15.4566, 13.5616, 20.4182, 651, 0.125
0, 15.8862, 12.7481, 23.9516, 652, 0.1875
0, 20.7578, 5.58166, 28.9819, 653, 0.125
0, 15.7622, 12.5959, 23.5858, 654, 0.3125
0, 16.8838, 13.4823, 18.8138, 655, 0.0625
0, 14.5208, 12.0667, 27.0844, 656, 0.3125
0, 16.0551, 7.86795, 27.7728, 657, 0.4375
0, 16.8212, 9.83587, 25.8027, 658, 0.4375
0, 16.0712, 12.6625, 22.792, 659, 0.5
0, 18.7543, 6.97785, 28.5738, 660, 0.4375
0, 15.8899, 11.1352, 25.5089, 661, 0.4375
0, 13.4408, 14.8104, 20.0083, 662, 0.3125
0, 11.4051, 13.2954, 27.0841, 663, 0.3125
0, 11.9183, 10.5895, 28.2987, 664, 0.4375
0, 20.949, 10.7176, 19.1197, 665, 0.25
0, 16.7195, 12.6726, 24.4137, 666, 0.1875
0, 13.8607, 10.7671, 29.5667, 667, 0.4375
0, 15.2629, 11.3026, 29.4914, 668, 0.5
0, 17.2876, 11.8318, 21.9501, 669, 0.625
0, 15.0055, 9.62789, 25.15, 670, 0.375
0, 19.3706, 15.9483, 13.8428, 671, 0.375
0, 23.0282, 15.3417, 9.92659, 672, 0.3125
0, 17.9211, 12.1438, 27.584, 673, 0.25
0, 16.7248, 12.5466, 23.7777, 674, 0.75
0, 15.4908, 13.2189, 26.6735, 675, 0.25
0, 36.356, 6.68515, 12.8562, 676, 0.125
0, 17.1048, 12.9443, 27.1343, 677, 0.4375
0, 13.7161, 13.6443, 25.6105, 678, 0.6875
0, 22.8942, 12.347, 16.0653, 679, 0.5625
0, 14.4225, 13.3481, 23.9743, 680, 0.5625
0, 16.2744, 11.2908, 26.0301, 681, 0.375
0, 10.0811, 16.4024, 31.1834, 682, 0.3125
0, 16.8498, 10.9826, 24.3496, 683, 0.25
0, 19.7475, 13.4514, 25.2992, 684, 0.5625
0, 17.396, 12.3528, 28.3757, 685, 0.3125
0, 14.2214, 14.9175, 26.6471, 686, 0.5625
0, 21.1967, 13.9749, 12.8237, 687, 0.5625
0, 12.9885, 10.7681, 32.5157, 688, 0.3125
0, 17.4715, 13.0996, 24.0219, 689, 0.4375
0, 16.6624, 12.5339, 30.7637, 690, 0.375
0, 27.8284, 10.397, 21.256, 691, 0.4375
0, 18.3156, 13.5396, 25.0331, 692, 0.75
0, 19.4595, 13.0086, 25.3229, 693, 0.3125
0, 17.5518, 14.0458, 25.7103, 694, 0.25
0, 26.1649, 12.5119, 20.1458, 695, 0.375
0, 17.7434, 8.86548, 29.8658, 696, 0.1875
0, 14.1007, 19.391, 22.429, 697, 0.5
0, 16.5405, 14.7094, 23.1748, 698, 0.8125
0, 15.4848, 13.4888, 23.7669, 699, 0.25
0, 14.4916, 11.6062, 31.3401, 700, 0.75
0, 21.471, 17.839, 19.8528, 701, 0.4375
0, 19.98, 11.7051, 22.7115, 702, 0.6875
0, 16.9166, 10.7499, 28.6508, 703, 0.4375
0, 15.7759, 12.0984, 28.4306, 704, 0.625
0, 18.2368, 14.5132, 20.2137, 705, 0.8125
0, 17.3165, 12.212, 24.7721, 706, 1
0, 14.5132, 12.3214, 32.6973, 707, 0.6875
0, 21.6456, 12.1564, 25.8083, 708, 0.75
0, 22.9714, 15.2049, 16.8535, 709, 0.5625
0, 18.1469, 14.2541, 25.5448, 710, 0.875
0, 18.3341, 14.5047, 22.9731, 711, 0.6875
0, 16.0552, 14.2414, 22.9089, 712, 1
