decade, abiealba, piceabie, fagusilv, elevation, area
0, 1096, 400, 1288, 603, 0.125
0, 1344, 848, 1012, 605, 0.25
0, 992, 800, 1216, 606, 0.0625
0, 700, 1060, 1176, 607, 0.25
0, 986.667, 784, 1178.67, 608, 0.1875
0, 816, 592, 1296, 609, 0.0625
0, 1306.67, 1077.33, 682.667, 611, 0.1875
0, 496, 1128, 1448, 613, 0.125
0, 538.667, 874.667, 1333.33, 615, 0.1875
0, 1504, 1024, 473.6, 616, 0.3125
0, 1045.33, 960, 1141.33, 617, 0.1875
0, 1464, 1088, 512, 618, 0.125
0, 1164, 1044, 896, 619, 0.25
0, 1050.67, 960, 1200, 620, 0.1875
0, 1224, 400, 1360, 621, 0.125
0, 1056, 892.8, 1174.4, 622, 0.3125
0, 1109.33, 800, 1024, 623, 0.1875
0, 960, 896, 1085.33, 624, 0.375
0, 1162.67, 853.333, 1082.67, 625, 0.1875
0, 1104, 693.333, 1082.67, 626, 0.1875
0, 992, 880, 1200, 627, 0.125
0, 1520, 1216, 0, 629, 0.0625
0, 584, 1588, 1004, 630, 0.25
0, 1194.67, 586.667, 1200, 631, 0.1875
0, 1110.4, 668.8, 1334.4, 632, 0.3125
0, 1152, 880, 1288, 633, 0.125
0, 1338.67, 586.667, 1194.67, 634, 0.1875
0, 496, 1000, 1192, 635, 0.125
0, 1136, 944, 1408, 636, 0.0625
0, 1168, 944, 864, 637, 0.0625
0, 1168, 640, 1200, 638, 0.0625
0, 1168, 944, 1024, 639, 0.0625
0, 1088, 954, 1094, 640, 0.5
0, 832, 944, 1040, 641, 0.0625
0, 0, 1312, 2072, 643, 0.125
0, 1152, 800, 1216, 644, 0.0625
0, 1472, 1136, 680, 645, 0.125
0, 1312, 944, 1584, 646, 0.0625
0, 1072, 500, 1808, 647, 0.25
0, 1002.67, 634.667, 1445.33, 648, 0.1875
0, 1368, 756, 1288, 649, 0.25
0, 984, 658.667, 1578.67, 650, 0.375
0, 1080, 960, 1272, 651, 0.125
0, 1109.33, 901.333, 1482.67, 652, 0.1875
0, 1448, 392, 1792, 653, 0.125
0, 1097.6, 889.6, 1449.6, 654, 0.3125
0, 1184, 960, 1184, 655, 0.0625
0, 1017.6, 854.4, 1676.8, 656, 0.3125
0, 1120, 555.429, 1723.43, 657, 0.4375
0, 1170.29, 694.857, 1581.71, 658, 0.4375
0, 1118, 894, 1402, 659, 0.5
0, 1300.57, 491.429, 1744, 660, 0.4375
0, 1106.29, 788.571, 1570.29, 661, 0.4375
0, 940.8, 1049.6, 1228.8, 662, 0.3125
0, 793.6, 937.6, 1664, 663, 0.3125
0, 829.714, 749.714, 1746.29, 664, 0.4375
0, 1452, 756, 1164, 665, 0.25
0, 1162.67, 896, 1498.67, 666, 0.1875
0, 966.857, 761.143, 1819.43, 667, 0.4375
0, 1056, 796, 1786, 668, 0.5
0, 1201.6, 843.2, 1331.2, 669, 0.625
0, 1042.67, 680, 1541.33, 670, 0.375
0, 1344, 1125.33, 842.667, 671, 0.375
0, 1593.6, 1081.6, 598.4, 672, 0.3125
0, 1236, 852, 1668, 673, 0.25
0, 1158.67, 885.333, 1446.67, 674, 0.75
0, 1072, 932, 1620, 675, 0.25
0, 2496, 472, 784, 676, 0.125
0, 1174.86, 905.143, 1620.57, 677, 0.4375
0, 949.818, 964.364, 1568, 678, 0.6875
0, 1575.11, 862.222, 972.444, 679, 0.5625
0, 1004.44, 945.778, 1473.78, 680, 0.5625
0, 1125.33, 797.333, 1562.67, 681, 0.375
0, 697.6, 1148.8, 1878.4, 682, 0.3125
0, 1168, 776, 1484, 683, 0.25
0, 1354.67, 940.444, 1509.33, 684, 0.5625
0, 1193.6, 864, 1699.2, 685, 0.3125
0, 981.333, 1047.11, 1607.11, 686, 0.5625
0, 1472, 983.111, 787.556, 687, 0.5625
0, 892.8, 752, 1955.2, 688, 0.3125
0, 1197.71, 916.571, 1453.71, 689, 0.4375
0, 1146.67, 874.667, 1845.33, 690, 0.375
0, 1906.29, 720, 1270.86, 691, 0.4375
0, 1249.33, 937.333, 1498.67, 692, 0.75
0, 1324.8, 902.4, 1507.2, 693, 0.3125
0, 1200, 976, 1536, 694, 0.25
0, 1792, 864, 1194.67, 695, 0.375
0, 1221.33, 624, 1797.33, 696, 0.1875
0, 962, 1342, 1336, 697, 0.5
0, 1138.46, 1026.46, 1400.62, 698, 0.8125
0, 1072, 944, 1440, 699, 0.25
0, 993.333, 812, 1898.67, 700, 0.75
