year, row, col, elevation, annualDroughtIndex, seasonalDroughtIndex, annualDegreeDaySum, seasonalDegreeDaySum, minimumTemperature, AET, PET, annualPrecipitationSum
0, 2, 2, 740, 0.105253, 0.105253, 1490.6, 1398.47, -1.65, 50.529, 54.5044, 140.47
1, 2, 2, 740, 0.265362, 0.265362, 1901.45, 1804.38, -3.45, 46.0401, 58.2329, 119.93
2, 2, 2, 740, 7.79383e-09, 9.8309e-09, 1544.76, 1297.7, -0.45, 56.7202, 56.7202, 143.24
3, 2, 2, 740, 0.255011, 0.255011, 1699.33, 1619.74, 0.25, 41.3516, 55.5704, 84.94
4, 2, 2, 740, 0.0619475, 0.0619475, 1608.15, 1515.15, -2.75, 52.2817, 55.2388, 160.24
5, 2, 2, 740, 2.04023e-09, 2.04023e-09, 1472.77, 1332.51, -0.25, 53.6855, 53.6855, 128.84
6, 2, 2, 740, 0.283031, 0.283031, 1485.55, 1419.01, -1.75, 36.3953, 53.7754, 169.2
7, 2, 2, 740, 0.0973132, 0.0845566, 1674.21, 1437.43, -2.05, 53.0682, 56.9214, 89.2
8, 2, 2, 740, 1.72026e-08, 1.72026e-08, 1269.93, 1138.82, -4.15, 52.5014, 52.5014, 148.14
9, 2, 2, 740, 0.0376334, 0.0376334, 1313.89, 1194.49, -1.85, 51.6164, 52.6116, 133.56
10, 2, 2, 740, 1.10829e-08, 1.10829e-08, 1243.55, 1180.3, -9.95, 51.1394, 51.1394, 153.64
11, 2, 2, 740, 1.13202e-08, 1.32069e-08, 1419.54, 1228.23, 0.65, 55.1883, 55.1883, 127.88
12, 2, 2, 740, 6.27288e-09, 6.27288e-09, 1525.61, 1410.37, -1.55, 53.5614, 53.5614, 169.74
13, 2, 2, 740, 0.213599, 0.213599, 1723.81, 1521.23, -0.35, 49.638, 58.1516, 102.87
14, 2, 2, 740, 9.69213e-09, 9.69213e-09, 1349.2, 1232.51, -0.65, 53.6136, 53.6136, 169.09
15, 2, 2, 740, 1.30511e-08, 1.30511e-08, 1645.56, 1458.11, 0.25, 56.6682, 56.6682, 185.65
16, 2, 2, 740, 0.148198, 0.148198, 1281.48, 1234.84, -2.05, 43.6593, 50.0184, 134.67
17, 2, 2, 740, 0.0268423, 0.030677, 1425.3, 1322.13, -5.75, 51.8782, 53.6931, 146.96
18, 2, 2, 740, 0.155, 0.155, 1593.59, 1481.92, 0.55, 47.0867, 55.5826, 112.96
19, 2, 2, 740, 1.23299e-08, 1.23299e-08, 1264.21, 1201.25, -4.25, 51.158, 51.158, 215.76
20, 2, 2, 740, 2.61556e-09, 2.61556e-09, 1464.32, 1369.3, -1.55, 53.3244, 53.3244, 181.47
21, 2, 2, 740, 0.106327, 0.124048, 1506.55, 1385.06, -1.25, 48.3111, 53.9303, 144.89
22, 2, 2, 740, 0.0335156, 0.0335156, 1379.16, 1276.1, -1.15, 51.4055, 53.1401, 175.01
23, 2, 2, 740, 0.172171, 0.172171, 1494.22, 1423.13, -3.05, 46.6277, 53.5637, 150.14
24, 2, 2, 740, 0.00832982, 0.00971813, 1420.12, 1319.47, -1.95, 50.9583, 51.3552, 203.32
25, 2, 2, 740, 0.224092, 0.224092, 1603.15, 1490.74, -2.15, 45.3024, 55.2711, 98.54
26, 2, 2, 740, 0.131587, 0.131587, 1306.09, 1098.91, 0.75, 51.0549, 54.7462, 112.52
27, 2, 2, 740, 0.0870127, 0.0870127, 1492.47, 1403.82, -1.55, 48.6865, 52.6714, 155.41
28, 2, 2, 740, 0.0549534, 0.0549534, 1288.62, 1129.66, 1.25, 51.6343, 53.6789, 166.03
29, 2, 2, 740, 0.0320003, 0.0320003, 1466.69, 1358.41, 0.45, 52.5033, 54.0264, 115.95
30, 2, 2, 740, 0.144065, 0.144065, 1546.18, 1455.59, -0.05, 48.2856, 54.2396, 108.66
31, 2, 2, 740, 7.4992e-09, 7.4992e-09, 1389.93, 1240.15, 0.05, 54.0101, 54.0101, 186.8
32, 2, 2, 740, 1.99021e-08, 1.92795e-08, 1307.69, 1156.63, -0.45, 52.7484, 52.7484, 168.04
33, 2, 2, 740, 0.0447001, 0.0447001, 1415.52, 1324.44, -2.65, 50.9977, 53.0815, 172.44
34, 2, 2, 740, 0.0220834, 0.0220834, 1237.89, 1160.45, -1.25, 49.854, 50.8111, 182.59
35, 2, 2, 740, 0.0290946, 0.0290946, 1405.22, 1292.94, -1.55, 52.1526, 53.7551, 208.6
36, 2, 2, 740, 0.0106405, 0.0124139, 1612.12, 1472.67, 1.15, 55.0563, 55.5606, 164.96
37, 2, 2, 740, 0.201801, 0.23063, 1726.2, 1567.46, -2.45, 40.8305, 57.0536, 130.02
38, 2, 2, 740, 0.0488841, 0.0570314, 1389.3, 1214.2, -2.75, 49.2719, 51.7573, 139.72
39, 2, 2, 740, 0.148414, 0.148414, 1528.03, 1458.54, -4.75, 45.8715, 52.2823, 130.82
40, 2, 2, 740, 0.0169166, 0.019736, 1562.58, 1448.96, -4.65, 53.6936, 54.5313, 160.07
41, 2, 2, 740, 1.15464e-08, 1.15464e-08, 1532.83, 1409.48, -2.85, 53.4404, 53.4404, 168.75
42, 2, 2, 740, 0.00424436, 0.00424436, 1557.94, 1453.62, -0.05, 54.8601, 55.051, 187.02
43, 2, 2, 740, 0.0227601, 0.0265534, 1729.27, 1441.92, 3.65, 57.9569, 58.7531, 122.86
44, 2, 2, 740, 0.0579654, 0.0579654, 1653.81, 1462.46, -0.65, 54.4551, 57.0216, 125.02
45, 2, 2, 740, 0.190237, 0.221943, 1554, 1396.67, -0.65, 45.5892, 54.8932, 100.79
46, 2, 2, 740, 0.170444, 0.204533, 1709.91, 1508.96, 2.25, 50.1575, 57.7347, 106.59
47, 2, 2, 740, 0.0304086, 0.0304086, 1502.45, 1384.77, 1.65, 54.9821, 56.4688, 109
48, 2, 2, 740, 0.0609901, 0.0711551, 1808.15, 1573.7, 1.25, 54.8004, 58.2194, 139.74
49, 2, 2, 740, 0.0502828, 0.0502828, 1576.8, 1469.64, -0.65, 51.4041, 54.7031, 130.88
50, 2, 2, 740, 0.0178423, 0.0178423, 1373.87, 1239.03, -1.85, 53.2041, 54.1021, 97.37
51, 2, 2, 740, 0.112853, 0.131662, 1692.34, 1469.36, 1.95, 51.455, 57.6743, 110.1
52, 2, 2, 740, 0.117329, 0.117329, 1522.77, 1393.25, 0.05, 50.8442, 55.4098, 112.98
53, 2, 2, 740, 7.0485e-09, 7.0485e-09, 1618, 1523.09, -1.85, 55.583, 55.583, 147.01
54, 2, 2, 740, 0.073097, 0.073097, 1713.8, 1568.78, 0.15, 53.0462, 57.4245, 128.38
55, 2, 2, 740, 0.0580813, 0.0580813, 1605.95, 1504.35, -2.05, 52.1168, 54.8666, 158.23
56, 2, 2, 740, 0.0248158, 0.0248158, 1630.06, 1423.91, 2.75, 56.722, 58.0449, 152.76
57, 2, 2, 740, 0.228991, 0.267156, 2043.26, 1845.12, -1.25, 45.3978, 60.2127, 83.73
58, 2, 2, 740, 0.0380989, 0.0380989, 1545.06, 1443.07, -0.75, 52.9527, 54.9606, 103.86
59, 2, 2, 740, 0.143214, 0.143214, 1677.49, 1592.64, -3.05, 47.9825, 55.7063, 92.75
60, 2, 2, 740, 0.171716, 0.200335, 1905.83, 1735.81, -0.95, 43.8506, 57.3787, 140.23
61, 2, 2, 740, 0.0149274, 0.0149274, 1673.43, 1531.8, 1.95, 57.6183, 58.3415, 142.81
62, 2, 2, 740, 0.0585484, 0.0585484, 1576.59, 1429.91, 0.65, 53.3714, 56.0029, 103.31
63, 2, 2, 740, 0.219317, 0.250648, 1740.85, 1633.2, -0.75, 44.3133, 56.2392, 74.97
64, 2, 2, 740, 0.0983758, 0.0983758, 1443.21, 1384.18, -2.55, 46.401, 52.8333, 84.23
65, 2, 2, 740, 0.159447, 0.182225, 1930.43, 1658.76, 0.55, 52.0278, 59.5578, 111.85
66, 2, 2, 740, 0.0129738, 0.0172985, 1735.66, 1559.05, -4.35, 56.475, 57.1928, 164.64
67, 2, 2, 740, 0.755442, 0.986051, 5795.29, 3555.16, 6.32, 8, 102.302, 0
68, 2, 2, 740, 0.137506, 0.137506, 1490.6, 1398.47, -1.65, 48.682, 54.5044, 140.47
69, 2, 2, 740, 0.284486, 0.284486, 1901.45, 1804.38, -3.45, 44.179, 58.2329, 119.93
70, 2, 2, 740, 7.79383e-09, 9.8309e-09, 1544.76, 1297.7, -0.45, 56.7202, 56.7202, 143.24
71, 2, 2, 740, 0.270163, 0.270163, 1699.33, 1619.74, 0.25, 40.2791, 55.5704, 84.94
72, 2, 2, 740, 0.0913124, 0.0913124, 1608.15, 1515.15, -2.75, 50.7904, 55.2388, 160.24
73, 2, 2, 740, 0.0315213, 0.0315213, 1472.77, 1332.51, -0.25, 52.2157, 53.6855, 128.84
74, 2, 2, 740, 0.287106, 0.287106, 1485.55, 1419.01, -1.75, 36.0497, 53.7754, 169.2
75, 2, 2, 740, 0.0883653, 0.076523, 1674.21, 1437.43, -2.05, 52.8399, 56.9214, 89.2
76, 2, 2, 740, 0.01003, 0.01003, 1269.93, 1138.82, -4.15, 52.1084, 52.5014, 148.14
77, 2, 2, 740, 0.0526567, 0.0526567, 1313.89, 1194.49, -1.85, 50.5784, 52.6116, 133.56
78, 2, 2, 740, 1.10829e-08, 1.10829e-08, 1243.55, 1180.3, -9.95, 51.1394, 51.1394, 153.64
79, 2, 2, 740, 1.13202e-08, 1.32069e-08, 1419.54, 1228.23, 0.65, 55.1883, 55.1883, 127.88
80, 2, 2, 740, 6.27288e-09, 6.27288e-09, 1525.61, 1410.37, -1.55, 53.5614, 53.5614, 169.74
81, 2, 2, 740, 0.204799, 0.204799, 1723.81, 1521.23, -0.35, 49.584, 58.1516, 102.87
82, 2, 2, 740, 9.69213e-09, 9.69213e-09, 1349.2, 1232.51, -0.65, 53.6136, 53.6136, 169.09
83, 2, 2, 740, 1.30511e-08, 1.30511e-08, 1645.56, 1458.11, 0.25, 56.6682, 56.6682, 185.65
84, 2, 2, 740, 0.152501, 0.152501, 1281.48, 1234.84, -2.05, 43.471, 50.0184, 134.67
85, 2, 2, 740, 0.0298157, 0.0340751, 1425.3, 1322.13, -5.75, 51.6772, 53.6931, 146.96
86, 2, 2, 740, 0.156624, 0.156624, 1593.59, 1481.92, 0.55, 46.9804, 55.5826, 112.96
87, 2, 2, 740, 1.23299e-08, 1.23299e-08, 1264.21, 1201.25, -4.25, 51.158, 51.158, 215.76
88, 2, 2, 740, 2.61556e-09, 2.61556e-09, 1464.32, 1369.3, -1.55, 53.3244, 53.3244, 181.47
89, 2, 2, 740, 0.106408, 0.124143, 1506.55, 1385.06, -1.25, 48.3262, 53.9303, 144.89
90, 2, 2, 740, 0.030073, 0.030073, 1379.16, 1276.1, -1.15, 51.5837, 53.1401, 175.01
91, 2, 2, 740, 0.166526, 0.166526, 1494.22, 1423.13, -3.05, 46.9202, 53.5637, 150.14
92, 2, 2, 740, 0.00409431, 0.00477669, 1420.12, 1319.47, -1.95, 51.1601, 51.3552, 203.32
93, 2, 2, 740, 0.216986, 0.216986, 1603.15, 1490.74, -2.15, 45.6435, 55.2711, 98.54
94, 2, 2, 740, 0.127593, 0.127593, 1306.09, 1098.91, 0.75, 51.3429, 54.7462, 112.52
95, 2, 2, 740, 0.0834412, 0.0834412, 1492.47, 1403.82, -1.55, 48.8755, 52.6714, 155.41
96, 2, 2, 740, 0.0484583, 0.0484583, 1288.62, 1129.66, 1.25, 51.8652, 53.6789, 166.03
97, 2, 2, 740, 0.0277604, 0.0277604, 1466.69, 1358.41, 0.45, 52.7051, 54.0264, 115.95
98, 2, 2, 740, 0.144629, 0.144629, 1546.18, 1455.59, -0.05, 48.4646, 54.2396, 108.66
99, 2, 2, 740, 7.4992e-09, 7.4992e-09, 1389.93, 1240.15, 0.05, 54.0101, 54.0101, 186.8
100, 2, 2, 740, 1.99021e-08, 1.92795e-08, 1307.69, 1156.63, -0.45, 52.7484, 52.7484, 168.04
101, 2, 2, 740, 0.0302076, 0.0302076, 1415.52, 1324.44, -2.65, 51.626, 53.0815, 172.44
102, 2, 2, 740, 0.012144, 0.012144, 1237.89, 1160.45, -1.25, 50.2848, 50.8111, 182.59
103, 2, 2, 740, 0.021274, 0.021274, 1405.22, 1292.94, -1.55, 52.5833, 53.7551, 208.6
104, 2, 2, 740, 0.00155127, 0.00180982, 1612.12, 1472.67, 1.15, 55.4871, 55.5606, 164.96
105, 2, 2, 740, 0.197875, 0.226143, 1726.2, 1567.46, -2.45, 41.0303, 57.0536, 130.02
106, 2, 2, 740, 0.0399233, 0.0465772, 1389.3, 1214.2, -2.75, 49.7143, 51.7573, 139.72
107, 2, 2, 740, 0.14171, 0.14171, 1528.03, 1458.54, -4.75, 46.254, 52.2823, 130.82
108, 2, 2, 740, 0.00761864, 0.00888842, 1562.58, 1448.96, -4.65, 54.1541, 54.5313, 160.07
109, 2, 2, 740, 1.15464e-08, 1.15464e-08, 1532.83, 1409.48, -2.85, 53.4404, 53.4404, 168.75
110, 2, 2, 740, 1.46293e-08, 1.46293e-08, 1557.94, 1453.62, -0.05, 55.051, 55.051, 187.02
111, 2, 2, 740, 0.00681951, 0.0079561, 1729.27, 1441.92, 3.65, 58.5157, 58.7531, 122.86
112, 2, 2, 740, 0.0239152, 0.0239152, 1653.81, 1462.46, -0.65, 55.9506, 57.0216, 125.02
113, 2, 2, 740, 0.194456, 0.226866, 1554, 1396.67, -0.65, 46.1286, 54.8932, 100.79
114, 2, 2, 740, 0.136657, 0.163989, 1709.91, 1508.96, 2.25, 51.6984, 57.7347, 106.59
115, 2, 2, 740, 0.0066638, 0.0066638, 1502.45, 1384.77, 1.65, 56.1231, 56.4688, 109
116, 2, 2, 740, 0.03118, 0.0363767, 1808.15, 1573.7, 1.25, 56.455, 58.2194, 139.74
117, 2, 2, 740, 0.0380027, 0.0380027, 1576.8, 1469.64, -0.65, 52.2098, 54.7031, 130.88
118, 2, 2, 740, 0.00251902, 0.00251902, 1373.87, 1239.03, -1.85, 53.9754, 54.1021, 97.37
119, 2, 2, 740, 0.106928, 0.12475, 1692.34, 1469.36, 1.95, 51.9852, 57.6743, 110.1
120, 2, 2, 740, 0.0804622, 0.0804622, 1522.77, 1393.25, 0.05, 52.4102, 55.4098, 112.98
121, 2, 2, 740, 7.0485e-09, 7.0485e-09, 1618, 1523.09, -1.85, 55.583, 55.583, 147.01
122, 2, 2, 740, 0.038685, 0.038685, 1713.8, 1568.78, 0.15, 55.0831, 57.4245, 128.38
