decade, abiealba, fagusilv, elevation, area
0, 22.3019, 26.6685, 603, 0.125
0, 21.4606, 24.6066, 605, 0.25
0, 24.0128, 28.7016, 606, 0.0625
0, 26.7939, 20.4823, 607, 0.25
0, 19.2053, 20.4941, 608, 0.1875
0, 16.0442, 29.0382, 609, 0.0625
0, 23.3208, 27.1097, 611, 0.1875
0, 37.3275, 14.0778, 613, 0.125
0, 28.7102, 16.4726, 615, 0.1875
0, 31.7666, 15.3941, 616, 0.3125
0, 14.9805, 29.4844, 617, 0.1875
0, 22.8542, 26.6902, 618, 0.125
0, 26.3283, 19.3216, 619, 0.25
0, 13.9438, 39.0303, 620, 0.1875
0, 17.4813, 30.9485, 621, 0.125
0, 14.4191, 29.3199, 622, 0.3125
0, 8.20364, 42.8206, 623, 0.1875
0, 22.0793, 22.8845, 624, 0.375
0, 20.9524, 28.4848, 625, 0.1875
0, 22.5046, 27.8728, 626, 0.1875
0, 33.8225, 8.02792, 627, 0.125
0, 24.5971, 28.8143, 629, 0.0625
0, 15.7847, 36.4107, 630, 0.25
0, 20.6176, 25.7697, 631, 0.1875
0, 19.3906, 22.1689, 632, 0.3125
0, 24.6106, 28.8419, 633, 0.125
0, 23.3715, 33.0322, 634, 0.1875
0, 33.742, 12.3205, 635, 0.125
0, 20.7292, 29.8813, 636, 0.0625
0, 20.7563, 28.1429, 637, 0.0625
0, 24.5465, 32.5144, 638, 0.0625
0, 20.8234, 24.1042, 639, 0.0625
0, 16.6528, 31.307, 640, 0.5
0, 16.7685, 24.2288, 641, 0.0625
0, 12.2867, 48.9336, 643, 0.125
0, 20.9297, 37.5835, 644, 0.0625
0, 21.1138, 30.5898, 645, 0.125
0, 24.2202, 38.3595, 646, 0.0625
0, 22.5444, 34.3578, 647, 0.25
0, 21.3434, 30.4975, 648, 0.1875
0, 25.293, 32.4345, 649, 0.25
0, 22.6098, 32.4625, 650, 0.375
0, 33.618, 18.6014, 651, 0.125
0, 22.1522, 29.7217, 652, 0.1875
0, 24.5738, 33.0454, 653, 0.125
0, 29.8536, 23.0479, 654, 0.3125
0, 21.2188, 31.7801, 655, 0.0625
0, 26.7648, 25.3865, 656, 0.3125
0, 20.6082, 27.8695, 657, 0.4375
