decade, abiealba, fagusilv, elevation, area
0, 1576, 1664, 603, 0.125
0, 1516, 1536, 605, 0.25
0, 1696, 1792, 606, 0.0625
0, 1896, 1284, 607, 0.25
0, 1365.33, 1285.33, 608, 0.1875
0, 1168, 1840, 609, 0.0625
0, 1632, 1685.33, 611, 0.1875
0, 2608, 880, 613, 0.125
0, 2037.33, 1034.67, 615, 0.1875
0, 2224, 963.2, 616, 0.3125
0, 1056, 1845.33, 617, 0.1875
0, 1592, 1648, 618, 0.125
0, 1848, 1200, 619, 0.25
0, 976, 2432, 620, 0.1875
0, 1216, 1904, 621, 0.125
0, 1014.4, 1827.2, 622, 0.3125
0, 570.667, 2672, 623, 0.1875
0, 1552, 1432, 624, 0.375
0, 1466.67, 1770.67, 625, 0.1875
0, 1573.33, 1749.33, 626, 0.1875
0, 2360, 504, 627, 0.125
0, 1712, 1776, 629, 0.0625
0, 1100, 2264, 630, 0.25
0, 1456, 1610.67, 631, 0.1875
0, 1363.2, 1382.4, 632, 0.3125
0, 1712, 1776, 633, 0.125
0, 1626.67, 2032, 634, 0.1875
0, 2352, 760, 635, 0.125
0, 1440, 1808, 636, 0.0625
0, 1472, 1776, 637, 0.0625
0, 1712, 2016, 638, 0.0625
0, 1472, 1520, 639, 0.0625
0, 1160, 1926, 640, 0.5
0, 1200, 1536, 641, 0.0625
0, 856, 3008, 643, 0.125
0, 1456, 2304, 644, 0.0625
0, 1472, 1896, 645, 0.125
0, 1680, 2320, 646, 0.0625
0, 1576, 2112, 647, 0.25
0, 1514.67, 1893.33, 648, 0.1875
0, 1760, 1980, 649, 0.25
0, 1578.67, 1997.33, 650, 0.375
0, 2352, 1144, 651, 0.125
0, 1546.67, 1845.33, 652, 0.1875
0, 1712, 2032, 653, 0.125
0, 2076.8, 1417.6, 654, 0.3125
0, 1488, 2000, 655, 0.0625
0, 1875.2, 1568, 656, 0.3125
0, 1437.71, 1728, 657, 0.4375
0, 1789.71, 2022.86, 658, 0.4375
0, 1468, 2112, 659, 0.5
0, 1778.29, 1920, 660, 0.4375
0, 1072, 2352, 661, 0.4375
0, 886.4, 2854.4, 662, 0.3125
0, 1321.6, 2524.8, 663, 0.3125
0, 2086.86, 1369.14, 664, 0.4375
0, 1636, 2240, 665, 0.25
0, 1792, 1941.33, 666, 0.1875
0, 1357.71, 2274.29, 667, 0.4375
0, 1458, 2074, 668, 0.5
0, 1528, 1764.8, 669, 0.625
0, 1581.33, 1952, 670, 0.375
0, 1589.33, 2106.67, 671, 0.375
0, 1808, 2044.8, 672, 0.3125
0, 1088, 2792, 673, 0.25
0, 1841.33, 1985.33, 674, 0.75
0, 1512, 2364, 675, 0.25
0, 848, 3392, 676, 0.125
0, 1974.86, 2029.71, 677, 0.4375
0, 1303.27, 2081.45, 678, 0.6875
0, 1649.78, 2261.33, 679, 0.5625
0, 1299.56, 2327.11, 680, 0.5625
0, 2138.67, 813.333, 681, 0.375
0, 1449.6, 2691.2, 682, 0.3125
0, 1636, 2040, 683, 0.25
0, 1706.67, 2181.33, 684, 0.5625
0, 1833.6, 2310.4, 685, 0.3125
0, 1628.44, 2421.33, 686, 0.5625
0, 1512.89, 2398.22, 687, 0.5625
0, 2156.8, 1740.8, 688, 0.3125
0, 2292.57, 918.857, 689, 0.4375
0, 1648, 2221.33, 690, 0.375
0, 1862.86, 2345.14, 691, 0.4375
0, 1852, 2282.67, 692, 0.75
0, 1872, 2326.4, 693, 0.3125
0, 908, 2272, 694, 0.25
0, 1549.33, 1901.33, 695, 0.375
0, 1706.67, 1536, 696, 0.1875
0, 1382, 2734, 697, 0.5
0, 2076.31, 1832.62, 698, 0.8125
0, 1760, 2172, 699, 0.25
0, 1833.33, 2137.33, 700, 0.75
0, 1350.86, 2852.57, 701, 0.4375
0, 1293.09, 2625.45, 702, 0.6875
0, 1801.14, 2050.29, 703, 0.4375
0, 1801.6, 2092.8, 704, 0.625
0, 1145.85, 3078.15, 705, 0.8125
0, 1485, 2320, 706, 1
0, 1953.45, 1632, 707, 0.6875
0, 1894.67, 2300, 708, 0.75
