row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,DBH,height,availableLight,light_rf,LeafArea,nitorgen_rf,droughtIndex,moisture_rf,degreeDay_rf,deadbole
0,0,0,3445993,5379484,1,730,abiealba,60,0.0720,39,2,15.7106,12.6827,0.0495,0.0709,7.7065,0.0000,0.0463,0.9136,0.7315,7.9343
0,0,0,3445993,5379484,1,730,fagusilv,60,0.3136,38,0,24.9088,17.3668,0.4257,0.8384,7.7065,0.0000,0.0463,0.9196,0.7005,7.9343
0,1,1,3446018,5379484,1,731,fagusilv,180,17.5548,2,0,153.9507,42.4068,0.3700,0.8016,6.0256,0.0000,0.0000,1.0000,0.7002,2.5506
0,2,2,3446043,5379484,1,731,fagusilv,180,18.0918,1,0,156.4632,42.5235,0.5999,0.9377,3.0969,0.0000,0.0000,1.0000,0.7002,8.2182
0,3,3,3446068,5379484,1,728,abiealba,40,0.0865,24,0,16.8496,13.4123,0.2384,0.6485,6.6640,0.0000,0.0000,1.0000,0.7322,10.9103
0,3,3,3446068,5379484,1,728,abiealba,30,0.0416,16,0,12.7580,10.7374,0.0976,0.2985,6.6640,0.0000,0.0000,1.0000,0.7322,10.9103
0,3,3,3446068,5379484,1,728,abiealba,20,0.0230,33,0,10.2515,9.0235,0.0555,0.1330,6.6640,0.0000,0.0000,1.0000,0.7322,10.9103
0,3,3,3446068,5379484,1,728,abiealba,10,0.0135,3,6,8.4506,7.7553,0.0366,0.0425,6.6640,0.0000,0.0000,1.0000,0.7322,10.9103
0,3,3,3446068,5379484,1,728,fagusilv,40,0.1662,26,0,19.2946,14.3706,0.6849,0.9635,6.6640,0.0000,0.0000,1.0000,0.7013,10.9103
0,3,3,3446068,5379484,1,728,fagusilv,30,0.0653,8,0,13.3007,10.8124,0.1253,0.3886,6.6640,0.0000,0.0000,1.0000,0.7013,10.9103
0,3,3,3446068,5379484,1,728,fagusilv,20,0.0328,9,0,10.1195,8.7589,0.0727,0.2051,6.6640,0.0000,0.0000,1.0000,0.7013,10.9103
0,3,3,3446068,5379484,1,728,fagusilv,10,0.0147,4,5,7.3603,6.8782,0.0379,0.0519,6.6640,0.0000,0.0000,1.0000,0.7013,10.9103
0,4,4,3446093,5379484,1,723,abiealba,50,0.1077,11,0,18.3413,14.3510,0.1853,0.5213,3.9809,0.0000,0.0000,1.0000,0.7339,5.0341
0,4,4,3446093,5379484,1,723,fagusilv,180,17.9344,1,0,155.7294,42.4900,0.6024,0.9386,3.9809,0.0000,0.0000,1.0000,0.7031,5.0341
0,5,5,3446118,5379484,1,716,abiealba,40,0.0517,1,0,13.8536,11.4684,0.1575,0.4569,3.7319,0.0000,0.0000,1.0000,0.7362,6.0459
0,5,5,3446118,5379484,1,716,fagusilv,180,17.9509,1,0,155.8065,42.4935,0.6021,0.9385,3.7319,0.0000,0.0000,1.0000,0.7057,6.0459
0,5,5,3446118,5379484,1,716,fagusilv,40,0.1321,8,0,17.5996,13.4037,0.1946,0.5421,3.7319,0.0000,0.0000,1.0000,0.7057,6.0459
0,6,6,3446143,5379484,1,710,fagusilv,60,0.4969,42,0,30.0515,19.8535,0.2729,0.6917,7.8713,0.0000,0.0037,0.9939,0.7078,10.8989
0,7,7,3446168,5379484,1,706,abiealba,30,0.0390,13,0,12.4575,10.5350,0.1703,0.4356,3.9344,0.0000,0.0000,1.0000,0.7394,6.7582
0,7,7,3446168,5379484,1,706,fagusilv,180,17.9612,1,0,155.8545,42.4957,0.6019,0.9385,3.9344,0.0000,0.0000,1.0000,0.7093,6.7582
0,7,7,3446168,5379484,1,706,fagusilv,30,0.0808,5,0,14.4748,11.5405,0.2054,0.5499,3.9344,0.0000,0.0000,1.0000,0.7093,6.7582
0,8,8,3446193,5379484,1,702,fagusilv,180,18.0855,2,0,156.4340,42.5222,0.3600,0.7915,6.1918,0.0000,0.0000,1.0000,0.7107,2.5559
0,9,9,3446218,5379484,1,700,fagusilv,180,18.0324,1,0,156.1867,42.5109,0.6008,0.9382,3.0876,0.0000,0.0000,1.0000,0.7114,10.5504
0,10,10,3446243,5379484,1,701,fagusilv,180,18.3689,1,0,157.7504,42.5813,0.5956,0.9363,3.4632,0.0000,0.0000,1.0000,0.7111,5.3355
0,10,10,3446243,5379484,1,701,fagusilv,50,0.2225,3,0,21.6870,15.6852,0.1972,0.5394,3.4632,0.0000,0.0000,1.0000,0.7111,5.3355
0,11,11,3446268,5379484,1,703,fagusilv,180,18.1248,1,0,156.6172,42.5305,0.5994,0.9376,3.6946,0.0000,0.0000,1.0000,0.7104,6.4934
0,11,11,3446268,5379484,1,703,fagusilv,70,0.5357,3,0,30.9956,20.2850,0.1923,0.5370,3.6946,0.0000,0.0000,1.0000,0.7104,6.4934
0,12,12,3446293,5379484,1,704,fagusilv,180,17.9697,2,0,155.8941,42.4976,0.3622,0.7938,6.1555,0.0000,0.0000,1.0000,0.7100,3.0063
0,13,13,3446318,5379484,1,704,abiealba,40,0.1147,60,0,18.7964,14.6336,0.4276,0.8574,7.1426,0.0000,0.0028,0.9950,0.7400,9.3231
0,13,13,3446318,5379484,1,704,abiealba,30,0.0281,24,6,11.0393,9.5685,0.0380,0.0486,7.1426,0.0000,0.0028,0.9950,0.7400,9.3231
0,13,13,3446318,5379484,1,704,fagusilv,30,0.0591,25,0,12.7802,10.4846,0.0636,0.1681,7.1426,0.0000,0.0028,0.9953,0.7100,9.3231
0,14,14,3446343,5379484,1,703,fagusilv,180,18.0234,1,0,156.1450,42.5090,0.6010,0.9382,3.7033,0.0000,0.0000,1.0000,0.7104,5.4294
0,14,14,3446343,5379484,1,703,fagusilv,60,0.3756,4,0,26.8029,18.3100,0.1930,0.5285,3.7033,0.0000,0.0000,1.0000,0.7104,5.4294
0,15,15,3446368,5379484,1,702,fagusilv,180,18.0547,1,0,156.2906,42.5157,0.6005,0.9380,3.8596,0.0000,0.0000,1.0000,0.7107,5.9174
0,15,15,3446368,5379484,1,702,fagusilv,40,0.1356,10,0,17.7883,13.5129,0.1878,0.5224,3.8596,0.0000,0.0000,1.0000,0.7107,5.9174
0,16,16,3446393,5379484,1,702,fagusilv,180,18.0634,1,0,156.3312,42.5175,0.6003,0.9380,3.6814,0.0000,0.0000,1.0000,0.7107,5.3136
0,16,16,3446393,5379484,1,702,fagusilv,60,0.3510,4,0,26.0762,17.9520,0.1933,0.5395,3.6814,0.0000,0.0000,1.0000,0.7107,5.3136
0,17,17,3446418,5379484,1,701,abiealba,20,0.0359,35,0,12.0742,10.2756,0.4598,0.8748,5.8207,0.0000,0.0000,1.0000,0.7410,17.0674
0,17,17,3446418,5379484,1,701,abiealba,10,0.0227,55,0,10.2026,8.9894,0.1180,0.3579,5.8207,0.0000,0.0000,1.0000,0.7410,17.0674
0,17,17,3446418,5379484,1,701,abiealba,0,0.0122,10,0,8.1738,7.5576,0.0589,0.0000,5.8207,0.0000,0.0000,0.0000,0.0000,17.0674
0,17,17,3446418,5379484,1,701,fagusilv,20,0.0473,28,0,11.7077,9.7990,0.8400,0.9865,5.8207,0.0000,0.0000,1.0000,0.7111,17.0674
0,17,17,3446418,5379484,1,701,fagusilv,10,0.0324,38,0,10.0700,8.7260,0.2312,0.6262,5.8207,0.0000,0.0000,1.0000,0.7111,17.0674
0,17,17,3446418,5379484,1,701,fagusilv,0,0.0129,6,0,6.9777,6.6098,0.0632,0.0000,5.8207,0.0000,0.0000,0.0000,0.0000,17.0674
0,18,18,3446443,5379484,1,697,fagusilv,180,18.2628,1,0,157.2581,42.5594,0.5973,0.9369,3.6572,0.0000,0.0000,1.0000,0.7125,5.6790
0,18,18,3446443,5379484,1,697,fagusilv,40,0.1340,7,0,17.7016,13.4628,0.1921,0.5311,3.6572,0.0000,0.0000,1.0000,0.7125,5.6790
0,19,19,3446468,5379484,1,694,fagusilv,180,18.0099,2,0,156.0820,42.5062,0.3614,0.7931,6.1681,0.0000,0.0000,1.0000,0.7136,3.5630
0,20,20,3446493,5379484,1,692,abiealba,180,8.8368,3,0,123.1307,49.0740,0.4505,0.8683,4.8323,0.0000,0.0000,1.0000,0.7439,8.6102
0,21,21,3446518,5379484,1,688,abiealba,180,7.2276,2,0,111.4968,47.1944,0.6343,0.9496,5.1759,0.0000,0.0000,1.0000,0.7453,18.5029
0,21,21,3446518,5379484,1,688,abiealba,10,0.0182,34,0,9.4154,8.4385,0.1389,0.4172,5.1759,0.0000,0.0000,1.0000,0.7453,18.5029
