decade, abiealba, fagusilv, landtype, area
0, 2046.7, 1770.4, 1, 300
1, 1968.86, 1634.69, 1, 300
2, 1832.33, 1464.3, 1, 300
3, 1531.58, 1301.74, 1, 300
4, 1020.14, 1153.09, 1, 300
5, 535.423, 949.57, 1, 300
6, 295.543, 708.213, 1, 300
7, 224.577, 492.177, 1, 300
8, 165.687, 305.643, 1, 300
9, 136.59, 201.81, 1, 300
10, 127.257, 153.787, 1, 300
11, 160.283, 169.86, 1, 300
12, 213.11, 200.11, 1, 300
13, 297.127, 258.403, 1, 300
14, 387.453, 335.427, 1, 300
15, 440.003, 370.813, 1, 300
16, 512.243, 448.127, 1, 300
17, 528.89, 449.34, 1, 300
18, 501.63, 442.537, 1, 300
19, 455.713, 413.42, 1, 300
20, 420.873, 398.93, 1, 300
21, 413.747, 400.18, 1, 300
22, 407.6, 393.217, 1, 300
23, 418.927, 408.837, 1, 300
24, 403.32, 388, 1, 300
25, 387.017, 392.287, 1, 300
26, 375.633, 390, 1, 300
27, 361.32, 379.023, 1, 300
28, 361.7, 367.997, 1, 300
29, 379.23, 372.877, 1, 300
30, 396.16, 384.87, 1, 300
31, 408.413, 370.35, 1, 300
32, 403.897, 372.193, 1, 300
33, 386.983, 365.9, 1, 300
34, 411.433, 385.05, 1, 300
35, 408.973, 380.993, 1, 300
36, 431.747, 403.903, 1, 300
37, 433.247, 407.863, 1, 300
38, 418.413, 400.063, 1, 300
39, 407.633, 392.473, 1, 300
40, 384.163, 384.82, 1, 300
41, 395.343, 390.82, 1, 300
42, 406.813, 394.833, 1, 300
43, 424.583, 415.857, 1, 300
44, 436.04, 411.44, 1, 300
45, 419.12, 408.113, 1, 300
46, 394.727, 400.06, 1, 300
47, 384.23, 385.167, 1, 300
48, 387.427, 381.65, 1, 300
49, 389.09, 375.99, 1, 300
50, 412.557, 400.067, 1, 300
